eid,modality
4168639,11
2984322,11
4342975,11
3904557,11
1245387,11
2031290,11
5248834,11
1015722,11
5397368,11
2087022,11
4787151,11
5671266,11
5180404,11
2122141,11
1965228,11
3767094,11
2679855,11
3721060,11
5103542,11
4089690,11
5050725,11
4631541,11
2896192,11
5658830,11
1105442,11
5344701,11
1185195,11
2403771,11
4791451,11
4324902,11
4553755,11
1881749,11
1728857,11
1430133,11
2888506,11
1374496,11
2215264,11
5831162,11
5323420,11
3959591,11
4341959,11
2926411,11
4562401,11
1595635,11
1569495,11
3448860,11
5624825,11
2217433,11
1725581,11
3171782,11
5852429,11
2732659,11
1907729,11
3064607,11
1313547,11
1716690,11
2365545,11
4815759,11
5589441,11
3672380,11
1392897,11
2303398,11
5922198,11
2484525,11
4187967,11
3776650,11
1556503,11
2186305,11
3703109,11
2630625,11
5301393,11
3883524,11
1265204,11
3032355,11
3366352,11
4525143,11
5311936,11
1142967,11
2922004,11
1270542,11
4207774,11
2443455,11
3985202,11
3423415,11
5695787,11
6015519,11
2891665,11
1022128,11
4303807,11
3599538,11
4306128,11
3778978,11
3366545,11
4326060,11
2489377,11
2813406,11
2250878,11
3933130,11
1177884,11
2754824,11
3444386,11
2583967,11
1828842,11
2757743,11
3772866,11
4601355,11
3502436,11
3463729,11
4011839,11
1106403,11
5293676,11
1508545,11
5068805,11
5805440,11
4607956,11
2701317,11
3669682,11
1526852,11
2438208,11
2257713,11
2043119,11
2732298,11
3753605,11
3579532,11
1312859,11
5417683,11
2663768,11
1310876,11
5391091,11
4046951,11
2877967,11
3160116,11
1375087,11
4257930,11
1392778,11
4101539,11
3381481,11
1157200,11
2201931,11
4603618,11
4037046,11
2256567,11
1382890,11
3571310,11
2378384,11
3024804,11
4157341,11
3704396,11
2778597,11
5732035,11
5166186,11
4748485,11
3492100,11
5107830,11
4454700,11
2625328,11
2987964,11
4345053,11
6022584,11
2955838,11
4444287,11
3774602,11
2959637,11
4716986,11
5709131,11
1052858,11
4491655,11
4493157,11
2248094,11
5545248,11
1923861,11
1525063,11
5681467,11
2190879,11
5384651,11
6022951,11
5499286,11
4451399,11
4220084,11
3265614,11
4323335,11
2899788,11
1084666,11
1420603,11
3204653,11
5094269,11
2404914,11
3447733,11
2452977,11
2865313,11
3008256,11
2844047,11
5428035,11
2627451,11
3709204,11
2741556,11
3489875,11
3109661,11
2723418,11
1138263,11
4278405,11
2426389,11
3981408,11
3035720,11
5428312,11
3421658,11
5945919,11
1782630,11
2080970,11
4986682,11
1649279,11
2918811,11
5491913,11
3376970,11
3087929,11
5388750,11
3806747,11
2195861,11
2251622,11
5727581,11
3747319,11
2021977,11
4426633,11
1184093,11
2197319,11
2881974,11
2852326,11
1285420,11
3856737,11
2922389,11
4648799,11
3108884,11
3603712,11
2891892,11
3793953,11
2612889,11
3664482,11
2186744,11
3127833,11
3733362,11
4888825,11
2200642,11
1958549,11
4782865,11
5067834,11
1431933,11
5905095,11
3682190,11
3684480,11
2671042,11
5485661,11
3044736,11
4871294,11
4849635,11
1470663,11
2248563,11
5390619,11
4820892,11
1497860,11
4233332,11
5553544,11
5860085,11
5400000,11
2159104,11
5867524,11
1183227,11
3375089,11
4240557,11
1182217,11
2209234,11
5923967,11
5725722,11
3318113,11
4850320,11
2318552,11
5464027,11
3526767,11
3442899,11
1256583,11
2274010,11
5544412,11
2637418,11
5053488,11
2758210,11
4602496,11
4950328,11
3530264,11
3927626,11
2925301,11
2296530,11
2134592,11
1180526,11
2350515,11
3779689,11
2238353,11
4190924,11
1347408,11
1350514,11
1908179,11
2515227,11
4329716,11
1698005,11
1215344,11
4623315,11
3215282,11
3268955,11
1267775,11
2360781,11
4881008,11
2691464,11
5829236,11
2241852,11
3995059,11
1530590,11
4246458,11
1438231,11
2127109,11
3750999,11
4831955,11
5364140,11
5201262,11
3306524,11
1034387,11
3517863,11
4046986,11
1268730,11
3837759,11
2561260,11
